title,phone_1,phone_2,phone_3,address
Techford AI Applications & Services,+971556835257,null,null,"Tower B, 24, Damascus street, Al Qusais Industrial 3, Deira, Dubai, Dubai Municipality"
Modsoft Technoogy,null,null,null,"Marina Plaza Tower, 74, Al Marsa street, Marsa Dubai, Jumeirah, Dubai, Dubai Municipality"
Aravez,+97145462702,null,null,"Fortune Executive Tower, T1, Cluster T street, Jumeirah Lakes Towers, Al Thanyah 5, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality"
Inaxus Technologies,+971588208311,+97165240609,null,null
QuestionPro,+971585998383,null,null,"Technohub 2, 22, 66 street, Nadd Hessa, Mushraif, Dubai, Dubai Municipality"
The Kernel,+97147017260,null,null,5
FSI Middle East,+97144495380,null,null,null
Visiontech Systems International,+97143937785,null,null,"Mohammed Bin Rashid Al Maktoum Humanitarian & Charity Est, 502/1, Al Rasheed road, Al Mamzar, Deira, Dubai, Dubai Municipality3 branches"
Al Tkamul Altiqani Computers,+97165288988,+971508996673,null,5
Bridge Technologies IT Services,null,null,null,"Fahidi Height Office Tower, 103, Khalid Bin Al Waleed road, Al Hamriya, Bur Dubai, Dubai, Dubai Municipality"
JC Technologies & Software Trading,+97143334493,+971505839245,null,"IT Plaza, 30, 47 street, Nadd Hessa, Mushraif, Dubai, Dubai Municipality"
Jewel Steps,+971542957323,null,null,null
Tech Matrix Technology,+97142882499,+971586111824,+971585832100,"Mohammed Noor Talib Building, 53, Khalid Bin Al Waleed road, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality"
Future City Computers Technology,+97143936105,+971557695501,null,"39, Khalid Bin Al Waleed road, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality2 branches"
Emqube,+97143593570,null,null,null
My Fatoorah,+97142637796,null,null,"The One Tower, 943, Sheikh Zayed road, Al Thanyah 1, Hadaeq Mohammed Bin Rashid, Dubai, Dubai Municipality2 branches"
RAS Infotech,+97143911300,+97143911301,null,"Al Thuraya Tower 1, 81, Al Falak street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
LinkQuest,+97143262916,+971509432091,null,Software sales
